Country,Rank,Crime Index,Year,,,,Country,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,Average,Average
Chile,47,46.48,2018,,,,,,,,,,,,,,,,,,
Moldova,48,45.66,2018,,,,,,,,,,,,,,,,,,
France,49,45.29,2018,,,,,,,,,,,,,,,,,,
Russia,50,45.2,2018,,,,,,,,,,,,,,,,,,
Ghana,51,45,2018,,,,,,,,,,,,,,,,,,
Indonesia,52,44.72,2018,,,,,,,,,,,,,,,,,,
Jordan,53,44.55,2018,,,,,,,,,,,,,,,,,,
Italy,54,44.53,2018,,,,,,,,,,,,,,,,,,
India,55,44.16,2018,,,,,,,,,,,,,,,,,,
Ireland,56,43.82,2018,,,,,,,,,,,,,,,,,,
Iraq,57,43.34,2018,,,,,,,,,,,,,,,,,,
Norway,58,43.33,2018,,,,,,,,,,,,,,,,,,
Australia,59,42.55,2018,,,,,,,,,,,,,,,,,,
Belgium,60,42.17,2018,,,,,,,,,,,,,,,,,,
Sri Lanka,61,41.75,2018,,,,,,,,,,,,,,,,,,
United Kingdom,62,41.2,2018,,,,,,,,,,,,,,,,,,
Turkey,63,41.06,2018,,,,,,,,,,,,,,,,,,
Tunisia,64,40.43,2018,,,,,,,,,,,,,,,,,,
North Macedonia,65,40.21,2018,,,,,,,,,,,,,,,,,,
Philippines,66,40.13,2018,,,,,,,,,,,,,,,,,,
Bosnia And Herzegovina,67,40.05,2018,,,,,,,,,,,,,,,,,,
Albania,68,39.87,2018,,,,,,,,,,,,,,,,,,
Bulgaria,69,39.7,2018,,,,,,,,,,,,,,,,,,
Nepal,70,39.51,2018,,,,,,,,,,,,,,,,,,
China,71,39.44,2018,,,,,,,,,,,,,,,,,,
Canada,72,39.28,2018,,,,,,,,,,,,,,,,,,
New Zealand,73,39.15,2018,,,,,,,,,,,,,,,,,,
Greece,74,39.07,2018,,,,,,,,,,,,,,,,,,
Palestine,75,37.95,2018,,,,,,,,,,,,,,,,,,
Serbia,76,37.76,2018,,,,,,,,,,,,,,,,,,
Lithuania,77,37.59,2018,,,,,,,,,,,,,,,,,,
Montenegro,78,37.51,2018,,,,,,,,,,,,,,,,,,
Kuwait,79,37.03,2018,,,,,,,,,,,,,,,,,,
Bahrain,80,36.96,2018,,,,,,,,,,,,,,,,,,
Israel,81,36.9,2018,,,,,,,,,,,,,,,,,,
Latvia,82,36.89,2018,,,,,,,,,,,,,,,,,,
Spain,83,36.74,2018,,,,,,,,,,,,,,,,,,
Saudi Arabia,84,36.69,2018,,,,,,,,,,,,,,,,,,
Germany,85,36.65,2018,,,,,,,,,,,,,,,,,,
Hungary,86,36.51,2018,,,,,,,,,,,,,,,,,,
Poland,87,36.23,2018,,,,,,,,,,,,,,,,,,
South Korea,88,35.83,2018,,,,,,,,,,,,,,,,,,
Portugal,89,34.54,2018,,,,,,,,,,,,,,,,,,
Luxembourg,90,32.12,2018,,,,,,,,,,,,,,,,,,
Malta,91,31.93,2018,,,,,,,,,,,,,,,,,,
Azerbaijan,92,30.52,2018,,,,,,,,,,,,,,,,,,
Cyprus,93,30.18,2018,,,,,,,,,,,,,,,,,,
Slovakia,94,30.15,2018,,,,,,,,,,,,,,,,,,
Romania,95,29.04,2018,,,,,,,,,,,,,,,,,,
Netherlands,96,28.94,2018,,,,,,,,,,,,,,,,,,
Czech Republic,97,28.81,2018,,,,,,,,,,,,,,,,,,
Armenia,98,28.28,2018,,,,,,,,,,,,,,,,,,
Oman,99,27.37,2018,,,,,,,,,,,,,,,,,,
Croatia,100,27,2018,,,,,,,,,,,,,,,,,,
Belarus,101,26.55,2018,,,,,,,,,,,,,,,,,,
Slovenia,102,24.71,2018,,,,,,,,,,,,,,,,,,
Iceland,103,24.49,2018,,,,,,,,,,,,,,,,,,
Finland,104,23.7,2018,,,,,,,,,,,,,,,,,,
Denmark,105,22.02,2018,,,,,,,,,,,,,,,,,,
Switzerland,106,21.76,2018,,,,,,,,,,,,,,,,,,
Hong Kong,107,20.9,2018,,,,,,,,,,,,,,,,,,
Estonia,108,20.83,2018,,,,,,,,,,,,,,,,,,
Taiwan,109,20.74,2018,,,,,,,,,,,,,,,,,,
Austria,110,20.41,2018,,,,,,,,,,,,,,,,,,
Georgia,111,20.35,2018,,,,,,,,,,,,,,,,,,
United Arab Emirates,112,18.75,2018,,,,,,,,,,,,,,,,,,
Singapore,113,16.23,2018,,,,,,,,,,,,,,,,,,
Qatar,114,15.7,2018,,,,,,,,,,,,,,,,,,
Japan,115,13.1,2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Venezuela,1,83.23,2019,,,,,,,,,,,,,,,,,,
Papua New Guinea,2,79.88,2019,,,,,,,,,,,,,,,,,,
Honduras,3,76.84,2019,,,,,,,,,,,,,,,,,,
South Africa,4,76.8,2019,,,,,,,,,,,,,,,,,,
Afghanistan,5,76.63,2019,,,,,,,,,,,,,,,,,,
Trinidad And Tobago,6,74.04,2019,,,,,,,,,,,,,,,,,,
Brazil,7,70.24,2019,,,,,,,,,,,,,,,,,,
Namibia,8,68.66,2019,,,,,,,,,,,,,,,,,,
El Salvador,9,68.08,2019,,,,,,,,,,,,,,,,,,
Kazakhstan,10,66.51,2019,,,,,,,,,,,,,,,,,,
Bangladesh,11,65.82,2019,,,,,,,,,,,,,,,,,,
Puerto Rico,12,65.53,2019,,,,,,,,,,,,,,,,,,
Peru,13,65.28,2019,,,,,,,,,,,,,,,,,,
Jamaica,14,65.28,2019,,,,,,,,,,,,,,,,,,
Nigeria,15,64.41,2019,,,,,,,,,,,,,,,,,,
Syria,16,63.59,2019,,,,,,,,,,,,,,,,,,
Argentina,17,62.55,2019,,,,,,,,,,,,,,,,,,
Dominican Republic,18,61.35,2019,,,,,,,,,,,,,,,,,,
Malaysia,19,60.79,2019,,,,,,,,,,,,,,,,,,
Somalia,20,60.1,2019,,,,,,,,,,,,,,,,,,
Mongolia,21,59.76,2019,,,,,,,,,,,,,,,,,,
Libya,22,59.18,2019,,,,,,,,,,,,,,,,,,
Tanzania,23,59.01,2019,,,,,,,,,,,,,,,,,,
Costa Rica,24,56.05,2019,,,,,,,,,,,,,,,,,,
Guatemala,25,55.92,2019,,,,,,,,,,,,,,,,,,
Kenya,26,54.82,2019,,,,,,,,,,,,,,,,,,
Maldives,27,53.29,2019,,,,,,,,,,,,,,,,,,
Bolivia,28,53.29,2019,,,,,,,,,,,,,,,,,,
Uganda,29,53.27,2019,,,,,,,,,,,,,,,,,,
Mexico,30,52.3,2019,,,,,,,,,,,,,,,,,,
Uruguay,31,52.01,2019,,,,,,,,,,,,,,,,,,
Ghana,32,51.95,2019,,,,,,,,,,,,,,,,,,
Zimbabwe,33,51.8,2019,,,,,,,,,,,,,,,,,,
Cambodia,34,51.28,2019,,,,,,,,,,,,,,,,,,
Colombia,35,51.26,2019,,,,,,,,,,,,,,,,,,
Egypt,36,50.71,2019,,,,,,,,,,,,,,,,,,
Morocco,37,50.24,2019,,,,,,,,,,,,,,,,,,
Sweden,38,49.35,2019,,,,,,,,,,,,,,,,,,
Iran,39,49.33,2019,,,,,,,,,,,,,,,,,,
Ecuador,40,48.98,2019,,,,,,,,,,,,,,,,,,
Ukraine,41,48.88,2019,,,,,,,,,,,,,,,,,,
Vietnam,42,48.78,2019,,,,,,,,,,,,,,,,,,
Algeria,43,48.33,2019,,,,,,,,,,,,,,,,,,
Ethiopia,44,47.18,2019,,,,,,,,,,,,,,,,,,
United States,45,47.13,2019,,,,,,,,,,,,,,,,,,
Chile,46,46.81,2019,,,,,,,,,,,,,,,,,,
Mauritius,47,46.81,2019,,,,,,,,,,,,,,,,,,
Pakistan,48,46.73,2019,,,,,,,,,,,,,,,,,,
Thailand,49,46.66,2019,,,,,,,,,,,,,,,,,,
Panama,50,46.43,2019,,,,,,,,,,,,,,,,,,
France,51,46.39,2019,,,,,,,,,,,,,,,,,,
Indonesia,52,46.01,2019,,,,,,,,,,,,,,,,,,
Iraq,53,45.56,2019,,,,,,,,,,,,,,,,,,
China,54,45.46,2019,,,,,,,,,,,,,,,,,,
Moldova,55,45.45,2019,,,,,,,,,,,,,,,,,,
Italy,56,45.02,2019,,,,,,,,,,,,,,,,,,
Ireland,57,44.52,2019,,,,,,,,,,,,,,,,,,
Lebanon,58,44.27,2019,,,,,,,,,,,,,,,,,,
Jordan,59,43.82,2019,,,,,,,,,,,,,,,,,,
Bosnia And Herzegovina,60,43.79,2019,,,,,,,,,,,,,,,,,,
Australia,61,42.76,2019,,,,,,,,,,,,,,,,,,
United Kingdom,62,42.72,2019,,,,,,,,,,,,,,,,,,
India,63,42.72,2019,,,,,,,,,,,,,,,,,,
Belgium,64,42.46,2019,,,,,,,,,,,,,,,,,,
Tunisia,65,42.29,2019,,,,,,,,,,,,,,,,,,
Russia,66,41.93,2019,,,,,,,,,,,,,,,,,,
Sri Lanka,67,41.03,2019,,,,,,,,,,,,,,,,,,
Philippines,68,40.83,2019,,,,,,,,,,,,,,,,,,
Montenegro,69,40.48,2019,,,,,,,,,,,,,,,,,,
Turkey,70,40.38,2019,,,,,,,,,,,,,,,,,,
Albania,71,40.3,2019,,,,,,,,,,,,,,,,,,
Bulgaria,72,40,2019,,,,,,,,,,,,,,,,,,
New Zealand,73,39.55,2019,,,,,,,,,,,,,,,,,,
Canada,74,39.51,2019,,,,,,,,,,,,,,,,,,
North Macedonia,75,39.29,2019,,,,,,,,,,,,,,,,,,
Greece,76,38.57,2019,,,,,,,,,,,,,,,,,,
Serbia,77,37.27,2019,,,,,,,,,,,,,,,,,,
Palestine,78,36.99,2019,,,,,,,,,,,,,,,,,,
Latvia,79,36.77,2019,,,,,,,,,,,,,,,,,,
Lithuania,80,36.51,2019,,,,,,,,,,,,,,,,,,
Nepal,81,36.44,2019,,,,,,,,,,,,,,,,,,
Norway,82,35.32,2019,,,,,,,,,,,,,,,,,,
Hungary,83,35.17,2019,,,,,,,,,,,,,,,,,,
Germany,84,34.51,2019,,,,,,,,,,,,,,,,,,
South Korea,85,34.05,2019,,,,,,,,,,,,,,,,,,
Kuwait,86,33.91,2019,,,,,,,,,,,,,,,,,,
Malta,87,33.53,2019,,,,,,,,,,,,,,,,,,
Bahrain,88,32.87,2019,,,,,,,,,,,,,,,,,,
Spain,89,32.46,2019,,,,,,,,,,,,,,,,,,
Israel,90,32.16,2019,,,,,,,,,,,,,,,,,,
Portugal,91,32.13,2019,,,,,,,,,,,,,,,,,,
Azerbaijan,92,31.67,2019,,,,,,,,,,,,,,,,,,
Poland,93,30.09,2019,,,,,,,,,,,,,,,,,,
Saudi Arabia,94,29.73,2019,,,,,,,,,,,,,,,,,,
Slovakia,95,29.54,2019,,,,,,,,,,,,,,,,,,
Cyprus,96,29.31,2019,,,,,,,,,,,,,,,,,,
Luxembourg,97,29.07,2019,,,,,,,,,,,,,,,,,,
Netherlands,98,28.57,2019,,,,,,,,,,,,,,,,,,
Romania,99,27.84,2019,,,,,,,,,,,,,,,,,,
Czech Republic,100,26.66,2019,,,,,,,,,,,,,,,,,,
Croatia,101,24.69,2019,,,,,,,,,,,,,,,,,,
Denmark,102,24.25,2019,,,,,,,,,,,,,,,,,,
Belarus,103,23.53,2019,,,,,,,,,,,,,,,,,,
Iceland,104,23.28,2019,,,,,,,,,,,,,,,,,,
Oman,105,22.83,2019,,,,,,,,,,,,,,,,,,
Finland,106,22.8,2019,,,,,,,,,,,,,,,,,,
Slovenia,107,22.57,2019,,,,,,,,,,,,,,,,,,
Armenia,108,22,2019,,,,,,,,,,,,,,,,,,
Switzerland,109,21.5,2019,,,,,,,,,,,,,,,,,,
Singapore,110,21.47,2019,,,,,,,,,,,,,,,,,,
Austria,111,21.37,2019,,,,,,,,,,,,,,,,,,
Estonia,112,20.8,2019,,,,,,,,,,,,,,,,,,
Georgia,113,19.86,2019,,,,,,,,,,,,,,,,,,
Hong Kong,114,19.32,2019,,,,,,,,,,,,,,,,,,
Taiwan,115,17.38,2019,,,,,,,,,,,,,,,,,,
United Arab Emirates,116,16.32,2019,,,,,,,,,,,,,,,,,,
Japan,117,13.73,2019,,,,,,,,,,,,,,,,,,
Qatar,118,13.26,2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Venezuela,1,84.49,2020,,,,,,,,,,,,,,,,,,
Papua New Guinea,2,81.93,2020,,,,,,,,,,,,,,,,,,
South Africa,3,77.49,2020,,,,,,,,,,,,,,,,,,
Afghanistan,4,76.23,2020,,,,,,,,,,,,,,,,,,
Honduras,5,76.11,2020,,,,,,,,,,,,,,,,,,
Trinidad And Tobago,6,73.19,2020,,,,,,,,,,,,,,,,,,
Brazil,7,68.88,2020,,,,,,,,,,,,,,,,,,
Peru,8,68.15,2020,,,,,,,,,,,,,,,,,,
El Salvador,9,67.96,2020,,,,,,,,,,,,,,,,,,
Guyana,10,67.66,2020,,,,,,,,,,,,,,,,,,
Namibia,11,67.21,2020,,,,,,,,,,,,,,,,,,
Syria,12,66.46,2020,,,,,,,,,,,,,,,,,,
Jamaica,13,66.04,2020,,,,,,,,,,,,,,,,,,
Puerto Rico,14,65.63,2020,,,,,,,,,,,,,,,,,,
Angola,15,64.97,2020,,,,,,,,,,,,,,,,,,
Bangladesh,16,63.94,2020,,,,,,,,,,,,,,,,,,
Nigeria,17,63.77,2020,,,,,,,,,,,,,,,,,,
Bahamas,18,62.86,2020,,,,,,,,,,,,,,,,,,
Libya,19,62.19,2020,,,,,,,,,,,,,,,,,,
Kazakhstan,20,62.02,2020,,,,,,,,,,,,,,,,,,
Argentina,21,61.77,2020,,,,,,,,,,,,,,,,,,
Kenya,22,61.66,2020,,,,,,,,,,,,,,,,,,
Dominican Republic,23,61.16,2020,,,,,,,,,,,,,,,,,,
Uganda,24,59,2020,,,,,,,,,,,,,,,,,,
Tanzania,25,58.95,2020,,,,,,,,,,,,,,,,,,
Fiji,26,58.92,2020,,,,,,,,,,,,,,,,,,
Malaysia,27,58.84,2020,,,,,,,,,,,,,,,,,,
Somalia,28,58.5,2020,,,,,,,,,,,,,,,,,,
Mongolia,29,57.97,2020,,,,,,,,,,,,,,,,,,
Guatemala,30,57.83,2020,,,,,,,,,,,,,,,,,,
Zimbabwe,31,57.47,2020,,,,,,,,,,,,,,,,,,
Costa Rica,32,56.33,2020,,,,,,,,,,,,,,,,,,
Colombia,33,54.79,2020,,,,,,,,,,,,,,,,,,
Mexico,34,53.97,2020,,,,,,,,,,,,,,,,,,
Uruguay,35,53.81,2020,,,,,,,,,,,,,,,,,,
Botswana,36,53.49,2020,,,,,,,,,,,,,,,,,,
Maldives,37,53.21,2020,,,,,,,,,,,,,,,,,,
Bolivia,38,52.93,2020,,,,,,,,,,,,,,,,,,
Ecuador,39,50.9,2020,,,,,,,,,,,,,,,,,,
Cambodia,40,50.66,2020,,,,,,,,,,,,,,,,,,
Algeria,41,49.81,2020,,,,,,,,,,,,,,,,,,
Paraguay,42,49.6,2020,,,,,,,,,,,,,,,,,,
Iran,43,49.25,2020,,,,,,,,,,,,,,,,,,
Ethiopia,44,49.21,2020,,,,,,,,,,,,,,,,,,
Ghana,45,48.97,2020,,,,,,,,,,,,,,,,,,
Ukraine,46,48.85,2020,,,,,,,,,,,,,,,,,,
Morocco,47,48.69,2020,,,,,,,,,,,,,,,,,,
Iraq,48,47.78,2020,,,,,,,,,,,,,,,,,,
Mauritius,49,47.33,2020,,,,,,,,,,,,,,,,,,
United States,50,47.2,2020,,,,,,,,,,,,,,,,,,
Panama,51,47.19,2020,,,,,,,,,,,,,,,,,,
Sweden,52,47.07,2020,,,,,,,,,,,,,,,,,,
Egypt,53,46.92,2020,,,,,,,,,,,,,,,,,,
France,54,46.79,2020,,,,,,,,,,,,,,,,,,
Myanmar,55,45.86,2020,,,,,,,,,,,,,,,,,,
Indonesia,56,45.84,2020,,,,,,,,,,,,,,,,,,
Ireland,57,45.43,2020,,,,,,,,,,,,,,,,,,
Vietnam,58,45.35,2020,,,,,,,,,,,,,,,,,,
Chile,59,45.23,2020,,,,,,,,,,,,,,,,,,
Moldova,60,44.98,2020,,,,,,,,,,,,,,,,,,
Nicaragua,61,44.44,2020,,,,,,,,,,,,,,,,,,
Italy,62,44.26,2020,,,,,,,,,,,,,,,,,,
Pakistan,63,44.08,2020,,,,,,,,,,,,,,,,,,
Belgium,64,43.98,2020,,,,,,,,,,,,,,,,,,
United Kingdom,65,43.71,2020,,,,,,,,,,,,,,,,,,
Palestine,66,43.59,2020,,,,,,,,,,,,,,,,,,
Lebanon,67,43.36,2020,,,,,,,,,,,,,,,,,,
India,68,43.32,2020,,,,,,,,,,,,,,,,,,
Bosnia And Herzegovina,69,43.03,2020,,,,,,,,,,,,,,,,,,
Philippines,70,42.16,2020,,,,,,,,,,,,,,,,,,
Tunisia,71,41.88,2020,,,,,,,,,,,,,,,,,,
Australia,72,41.36,2020,,,,,,,,,,,,,,,,,,
Montenegro,73,41.18,2020,,,,,,,,,,,,,,,,,,
Russia,74,41.12,2020,,,,,,,,,,,,,,,,,,
New Zealand,75,40.93,2020,,,,,,,,,,,,,,,,,,
Jordan,76,40.83,2020,,,,,,,,,,,,,,,,,,
Thailand,77,40.48,2020,,,,,,,,,,,,,,,,,,
Greece,78,40.32,2020,,,,,,,,,,,,,,,,,,
Sri Lanka,79,40.22,2020,,,,,,,,,,,,,,,,,,
Canada,80,39.67,2020,,,,,,,,,,,,,,,,,,
Albania,81,39.52,2020,,,,,,,,,,,,,,,,,,
Turkey,82,39.49,2020,,,,,,,,,,,,,,,,,,
Malta,83,39.04,2020,,,,,,,,,,,,,,,,,,
North Macedonia,84,38.67,2020,,,,,,,,,,,,,,,,,,
Bulgaria,85,38.5,2020,,,,,,,,,,,,,,,,,,
Serbia,86,37.41,2020,,,,,,,,,,,,,,,,,,
Latvia,87,36.95,2020,,,,,,,,,,,,,,,,,,
Norway,88,35.43,2020,,,,,,,,,,,,,,,,,,
Hungary,89,35.08,2020,,,,,,,,,,,,,,,,,,
Germany,90,34.81,2020,,,,,,,,,,,,,,,,,,
Kuwait,91,34.75,2020,,,,,,,,,,,,,,,,,,
Nepal,92,34.56,2020,,,,,,,,,,,,,,,,,,
Luxembourg,93,33.39,2020,,,,,,,,,,,,,,,,,,
Lithuania,94,33.06,2020,,,,,,,,,,,,,,,,,,
Kosovo (Disputed Territory),95,32.91,2020,,,,,,,,,,,,,,,,,,
Spain,96,31.96,2020,,,,,,,,,,,,,,,,,,
China,97,31.83,2020,,,,,,,,,,,,,,,,,,
Azerbaijan,98,31.61,2020,,,,,,,,,,,,,,,,,,
Singapore,99,30.57,2020,,,,,,,,,,,,,,,,,,
Cyprus,100,30.01,2020,,,,,,,,,,,,,,,,,,
Portugal,101,29.63,2020,,,,,,,,,,,,,,,,,,
Israel,102,29.6,2020,,,,,,,,,,,,,,,,,,
Bahrain,103,29.29,2020,,,,,,,,,,,,,,,,,,
Slovakia,104,29.22,2020,,,,,,,,,,,,,,,,,,
Poland,105,28.5,2020,,,,,,,,,,,,,,,,,,
South Korea,106,28.02,2020,,,,,,,,,,,,,,,,,,
Brunei,107,27.68,2020,,,,,,,,,,,,,,,,,,
Romania,108,27.64,2020,,,,,,,,,,,,,,,,,,
Netherlands,109,27.62,2020,,,,,,,,,,,,,,,,,,
Cuba,110,27.45,2020,,,,,,,,,,,,,,,,,,
Saudi Arabia,111,26.18,2020,,,,,,,,,,,,,,,,,,
Czech Republic,112,25.52,2020,,,,,,,,,,,,,,,,,,
Denmark,113,25.1,2020,,,,,,,,,,,,,,,,,,
Belarus,114,24.99,2020,,,,,,,,,,,,,,,,,,
Croatia,115,24.71,2020,,,,,,,,,,,,,,,,,,
Austria,116,23.73,2020,,,,,,,,,,,,,,,,,,
Iceland,117,23.36,2020,,,,,,,,,,,,,,,,,,
Finland,118,23.32,2020,,,,,,,,,,,,,,,,,,
Estonia,119,23.14,2020,,,,,,,,,,,,,,,,,,
Armenia,120,21.6,2020,,,,,,,,,,,,,,,,,,
Switzerland,121,21.6,2020,,,,,,,,,,,,,,,,,,
Slovenia,122,21.07,2020,,,,,,,,,,,,,,,,,,
Oman,123,20.79,2020,,,,,,,,,,,,,,,,,,
Hong Kong,124,20.7,2020,,,,,,,,,,,,,,,,,,
Japan,125,20.66,2020,,,,,,,,,,,,,,,,,,
Georgia,126,20.21,2020,,,,,,,,,,,,,,,,,,
United Arab Emirates,127,15.7,2020,,,,,,,,,,,,,,,,,,
Taiwan,128,15.65,2020,,,,,,,,,,,,,,,,,,
Qatar,129,11.86,2020,,,,,,,,,,,,,,,,,,
